52019,42019,32019,22019,12019,122018,112018,102018,92018,82018,72018,62018,52018,42018,32018,22018,12018,122017,112017,102017,92017,82017,72017,62017,52017,42017,32017,22017,12017,122016,112016,102016,92016,82016,72016,62016,52016,42016,32016,22016,12016,122015,112015,102015,92015,82015,72015,62015,52015,42015,32015,22015,12015,122014,112014,102014,92014,82014,72014,62014,52014,42014,32014,22014,12014,122013,112013,102013,92013,82013,72013,62013,52013,42013,32013,22013,12013,122012,112012,102012,92012,82012,72012,62012,52012,42012,32012,22012,12012,122011,112011,102011,92011,82011,72011,62011,52011,42011,32011,22011,12011,122010,112010,102010,92010,82010,72010,62010,52010,42010,32010,22010,12010,122009,112009,102009,92009,82009,72009,62009,52009,42009,32009,22009,12009,122008,112008,102008,92008,82008,72008,62008,52008,42008,32008,22008,12008,122007,112007,102007,92007,82007,72007,62007,52007,42007,32007,22007,12007,122006,112006,102006,92006,82006,72006,62006,52006,42006,32006,22006,12006,122005
BHIN IS,BHIN IS,BHIN IS,BHE IS,BHE IS,BHE IS,BHE IS,BHE IS,BHE IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BHIN IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHE IS,BHE IS,BHE IS,BHE IS,BHE IS,BHE IS,BHE IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS
BIOS IS,BIOS IS,BIOS IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJAUT IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHEL IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS
BJAUT IS,BJAUT IS,BJAUT IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BHIN IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJFIN IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BHFC IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS
BJFIN IS,BJFIN IS,BJFIN IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BJHI IS,BOB IS,BOB IS,BOB IS,BOB IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BJHI IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BIOS IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BJHI IS,BJHI IS,BJHI IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS
BJHI IS,BJHI IS,BJHI IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BJAUT IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOB IS,BOI IS,BOI IS,BOI IS,BOI IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOB IS,BOB IS,BOB IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS
BOB IS,BOB IS,BOB IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BJFIN IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOI IS,BOS IS,BOS IS,BOS IS,BOS IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BOI IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BOI IS,BOI IS,BOI IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS
BOS IS,BOS IS,BOS IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BOB IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BOS IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,BPCL IS,BPCL IS,BPCL IS,BRPL IS,BRPL IS,BRPL IS,BRPL IS,BRPL IS,BRPL IS,BRPL IS,BRPL IS,BRPL IS,BRPL IS,BRPL IS,BRPL IS,BRPL IS,BRPL IS,BRPL IS,BRPL IS,BRPL IS,BRPL IS,BRPL IS,BRPL IS,BRPL IS,BRPL IS,BRPL IS,BRPL IS
BPCL IS,BPCL IS,BPCL IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BOS IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,BPCL IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CAIR IS,CAIR IS,CAIR IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS
BRIT IS,BRIT IS,BRIT IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,BPCL IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,BRIT IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CBK IS,CBK IS,CBK IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CDH IS,CDH IS
CCRI IS,CCRI IS,CCRI IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,BRIT IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CAIR IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CAIR IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CBK IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CIPLA IS,CIPLA IS,CIPLA IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CCRI IS,CCRI IS,CCRI IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CIPLA IS,CIPLA IS
CDH IS,CDH IS,CDH IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CLGT IS,CLGT IS,CLGT IS,CLGT IS,CLGT IS,CLGT IS,CLGT IS,CLGT IS,CLGT IS,CLGT IS,CLGT IS,CLGT IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CBK IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CCRI IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CRPBK IS,CRPBK IS,CRPBK IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CDH IS,CDH IS,CDH IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CMC IS,CMC IS
CIPLA IS,CIPLA IS,CIPLA IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CLGT IS,CLGT IS,CLGT IS,CLGT IS,CLGT IS,COAL IS,COAL IS,COAL IS,COAL IS,COAL IS,COAL IS,COAL IS,COAL IS,COAL IS,COAL IS,COAL IS,COAL IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CDH IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CCRI IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CGPOWER IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CLGT IS,CLGT IS,CLGT IS,CLGT IS,CLGT IS,CLGT IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CLGT IS,CLGT IS,CLGT IS,CLGT IS,CLGT IS,CLGT IS,CLGT IS,CLGT IS,CLGT IS,CLGT IS,CLGT IS,CLGT IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CIPLA IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,DLFU IS,DLFU IS,DLFU IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CIPLA IS,CIPLA IS,CIPLA IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CRPBK IS,CMC IS,CRPBK IS,CRPBK IS
